Time	Force
2.80495	-488.37525
2.80500	-506.37695
2.80505	-494.29986
2.80510	-482.45065
2.80515	-504.09826
2.80520	-487.91952
2.80525	-503.41465
2.80530	-502.04743
2.80535	-491.33756
2.80540	-503.64252
2.80545	-490.88182
2.80550	-481.53917
2.80555	-505.69334
2.80560	-497.49004
2.80565	-493.38839
2.80570	-505.69334
2.80575	-483.36212
2.80580	-506.37695
2.80585	-495.66708
2.80590	-506.14908
2.80595	-489.05886
2.80600	-501.36382
2.80605	-479.71621
2.80610	-504.32613
2.80615	-479.26047
2.80620	-500.68021
2.80625	-491.10969
2.80630	-497.49004
2.80635	-486.55230
2.80640	-502.04743
2.80645	-500.45234
2.80650	-478.57686
2.80655	-506.37695
2.80660	-480.62769
2.80665	-503.87039
2.80670	-493.38839
2.80675	-484.27360
2.80680	-488.14739
2.80685	-502.50317
2.80690	-497.03430
2.80695	-505.69334
2.80700	-487.00804
2.80705	-505.69334
2.80710	-480.62769
2.80715	-503.87039
2.80720	-504.55400
2.80725	-475.84243
2.80730	-503.18678
2.80735	-475.15882
2.80740	-496.12282
2.80745	-502.95891
2.80750	-491.10969
2.80755	-494.29986
2.80760	-502.04743
2.80765	-502.27530
2.80770	-480.17195
2.80775	-497.71791
2.80780	-486.55230
2.80785	-481.53917
2.80790	-499.76873
2.80795	-500.22447
2.80800	-500.45234
2.80805	-486.32443
2.80810	-488.37525
2.80815	-503.64252
2.80820	-478.12112
2.80825	-496.57856
2.80830	-488.37525
2.80835	-502.95891
2.80840	-491.56543
2.80845	-481.53917
2.80850	-503.87039
2.80855	-492.47691
2.80860	-503.18678
2.80865	-487.91952
2.80870	-502.73104
2.80875	-504.32613
2.80880	-491.10969
2.80885	-503.64252
2.80890	-476.98178
2.80895	-502.27530
2.80900	-499.08513
2.80905	-504.78187
2.80910	-483.36212
2.80915	-504.32613
2.80920	-476.98178
2.80925	-493.84412
2.80930	-492.93265
2.80935	-502.95891
2.80940	-489.28673
2.80945	-503.87039
2.80950	-480.39982
2.80955	-503.18678
2.80960	-483.81786
2.80965	-504.78187
2.80970	-481.08343
2.80975	-498.40152
2.80980	-503.41465
2.80985	-491.56543
2.80990	-492.93265
2.80995	-504.32613
2.81000	-487.00804
2.81005	-499.31299
2.81010	-505.92121
2.81015	-484.27360
